holder_name,held_name,stake_pct,filing_date,entity_type,holder_role,shares_held,held_scrip_code,as_on_date,group
CHILAMILIKA LALINI HARIANI,Oriental Hotels Ltd,1.42,2026-07-21,individual,Promoter Group,2538909,500314,2026-06-30,Tata
TATA CHEMICALS LIMITED,Oriental Hotels Ltd,1.41,2026-07-21,corporate,Promoter Group,2523000,500314,2026-06-30,Tata
ROHIT REDDY D,Oriental Hotels Ltd,1.24,2026-07-21,individual,Promoter Group,2212500,500314,2026-06-30,Tata
QUANT MUTUAL FUND - QUANT SMALL CAP FUND,Oriental Hotels Ltd,1.14,2026-07-21,corporate,Public (>1%),2040266,500314,2026-06-30,Tata
DODLA PREMALEELA REDDY,Oriental Hotels Ltd,1.13,2026-07-21,individual,Promoter Group,2019980,500314,2026-06-30,Tata
TAJ TRADE AND TRANSPORT COMPANY LIMITED,Oriental Hotels Ltd,0.93,2026-07-21,corporate,Promoter Group,1664090,500314,2026-06-30,Tata
D NAVEEN REDDY,Oriental Hotels Ltd,0.74,2026-07-21,individual,Promoter Group,1313900,500314,2026-06-30,Tata
DODLA PRAKASH REDDY,Oriental Hotels Ltd,0.73,2026-07-21,individual,Promoter Group,1309320,500314,2026-06-30,Tata
D. ARUNA REDDY,Oriental Hotels Ltd,0.72,2026-07-21,individual,Promoter Group,1283710,500314,2026-06-30,Tata
GOLLAMUDI VENKA REDDY,Oriental Hotels Ltd,0.7,2026-07-21,individual,Promoter Group,1258450,500314,2026-06-30,Tata
P. SHOBA REDDY,Oriental Hotels Ltd,0.61,2026-07-21,individual,Promoter Group,1081450,500314,2026-06-30,Tata
TATA INVESTMENT CORPORATION LTD,Oriental Hotels Ltd,0.6,2026-07-21,corporate,Promoter Group,1076000,500314,2026-06-30,Tata
JAKKA SUREKHA REDDY,Oriental Hotels Ltd,0.58,2026-07-21,individual,Promoter Group,1042300,500314,2026-06-30,Tata
DODLA POORNIMA REDDY,Oriental Hotels Ltd,0.5,2026-07-21,individual,Promoter Group,900000,500314,2026-06-30,Tata
M KALA REDDY,Oriental Hotels Ltd,0.35,2026-07-21,individual,Promoter Group,626120,500314,2026-06-30,Tata
C HEMALATHA REDDY,Oriental Hotels Ltd,0.28,2026-07-21,individual,Promoter Group,506430,500314,2026-06-30,Tata
PIEM INTERNATIONAL (H.K.) LIMITED,Oriental Hotels Ltd,0.27,2026-07-21,corporate,Promoter Group,487500,500314,2026-06-30,Tata
D NITYA REDDY,Oriental Hotels Ltd,0.26,2026-07-21,individual,Promoter Group,467300,500314,2026-06-30,Tata
PRAVIN RANJAN,Oriental Hotels Ltd,0.21,2026-07-21,individual,Promoter Group,366220,500314,2026-06-30,Tata
D RAHUL REDDY,Oriental Hotels Ltd,0.18,2026-07-21,individual,Promoter Group,318170,500314,2026-06-30,Tata
LATE SUDHAKAR REDDY,Oriental Hotels Ltd,0.18,2026-07-21,individual,Promoter,313455,500314,2026-06-30,Tata
C LEENAJA REDDY,Oriental Hotels Ltd,0.17,2026-07-21,individual,Promoter Group,311250,500314,2026-06-30,Tata
DODLA VENKATARAMANI,Oriental Hotels Ltd,0.15,2026-07-21,individual,Promoter Group,273956,500314,2026-06-30,Tata
DODLA SHILPA,Oriental Hotels Ltd,0.14,2026-07-21,individual,Promoter Group,247520,500314,2026-06-30,Tata
PEDDINENIKALVA VIDYAREDDY,Oriental Hotels Ltd,0.11,2026-07-21,individual,Promoter Group,192620,500314,2026-06-30,Tata
NEETHA REDDY,Oriental Hotels Ltd,0.1,2026-07-21,individual,Promoter Group,169989,500314,2026-06-30,Tata
D. SUDHA REDDY,Oriental Hotels Ltd,0.09,2026-07-21,individual,Promoter Group,156630,500314,2026-06-30,Tata
M V SURESHREDDY,Oriental Hotels Ltd,0.09,2026-07-21,individual,Promoter Group,155000,500314,2026-06-30,Tata
LATE D SUNDER NISCHAL,Oriental Hotels Ltd,0.06,2026-07-21,individual,Promoter Group,99000,500314,2026-06-30,Tata
DWARAKNATH REDDY HUF (P DWARAKNATH REDDY),Oriental Hotels Ltd,0.05,2026-07-21,individual,Promoter Group,87390,500314,2026-06-30,Tata
D K PAVAN,Oriental Hotels Ltd,0.04,2026-07-21,individual,Promoter Group,65850,500314,2026-06-30,Tata
D V SHARAN,Oriental Hotels Ltd,0.04,2026-07-21,individual,Promoter Group,65850,500314,2026-06-30,Tata
TAJ MADURAI LIMITED,Oriental Hotels Ltd,0.04,2026-07-21,corporate,Promoter Group,68260,500314,2026-06-30,Tata
KIRAN REDDY JAKKA,Oriental Hotels Ltd,0.03,2026-07-21,individual,Promoter Group,59830,500314,2026-06-30,Tata
D KARTHIK REDDY,Oriental Hotels Ltd,0.01,2026-07-21,individual,Promoter Group,20462,500314,2026-06-30,Tata
DODLA ABISHEK,Oriental Hotels Ltd,0.01,2026-07-21,individual,Promoter Group,22770,500314,2026-06-30,Tata
DODLA PRASANNA REDDY,Oriental Hotels Ltd,0.01,2026-07-21,individual,Promoter Group,25000,500314,2026-06-30,Tata
G V K RANJAN,Oriental Hotels Ltd,0.01,2026-07-21,individual,Promoter Group,12000,500314,2026-06-30,Tata
J CHAITANYA REDDY,Oriental Hotels Ltd,0.01,2026-07-21,individual,Promoter Group,16820,500314,2026-06-30,Tata
DEEPTHA REDDY,Oriental Hotels Ltd,0.0,2026-07-21,individual,Promoter Group,10,500314,2026-06-30,Tata
LATE DODLA KAMESWARI REDDY,Oriental Hotels Ltd,0.0,2026-07-21,individual,Promoter Group,5200,500314,2026-06-30,Tata
Tata Chemicals Limited,Rallis India Ltd,55.04,2026-07-21,corporate,Promoter,107041610,500355,2026-06-30,Tata
SBI MUTUAL FUND (Various Funds),Rallis India Ltd,8.3,2026-07-21,corporate,Public (>1%),16145401,500355,2026-06-30,Tata
National Insurance Company Ltd,Rallis India Ltd,1.1,2026-07-21,corporate,Public (>1%),2136226,500355,2026-06-30,Tata
Ewart Investments Limited,Rallis India Ltd,0.04,2026-07-21,corporate,Promoter Group,75000,500355,2026-06-30,Tata
Tata Steel Limited,TRF Ltd-$,34.11,2026-07-21,corporate,Promoter,3753275,505854,2026-06-30,Tata
Roopa Corporate Services Pvt. Ltd.,TRF Ltd-$,2.84,2026-07-21,corporate,Public (>1%),312664,505854,2026-06-30,Tata
Guttikonda Vara Lakshmi,TRF Ltd-$,2.12,2026-07-21,individual,Public (>1%),232938,505854,2026-06-30,Tata
Litton System Inc,TRF Ltd-$,1.98,2026-07-21,corporate,Public (>1%),217500,505854,2026-06-30,Tata
Chetan Gopaldas Cholera,TRF Ltd-$,1.45,2026-07-21,individual,Public (>1%),159687,505854,2026-06-30,Tata
Ravi Shankaran,TRF Ltd-$,1.19,2026-07-21,individual,Public (>1%),131421,505854,2026-06-30,Tata
O.P.J Financial Services (P) Ltd.,TRF Ltd-$,1.09,2026-07-21,corporate,Public (>1%),120000,505854,2026-06-30,Tata
Investor Education and Protection Fund Authority,TRF Ltd-$,1.08,2026-07-21,corporate,Public (>1%),119319,505854,2026-06-30,Tata
Tata Industries Limited,TRF Ltd-$,0.02,2026-07-21,corporate,Promoter Group,1960,505854,2026-06-30,Tata
Tata Sons Private Limited,Tata Capital Ltd,78.8,2026-07-16,corporate,Promoter,3345064262,544574,2026-06-30,Tata
Tmf Holdings Limited,Tata Capital Ltd,4.39,2026-07-16,corporate,Promoter Group,186224770,544574,2026-06-30,Tata
Tata Investment Corporation Limited,Tata Capital Ltd,1.95,2026-07-16,corporate,Promoter Group,82936767,544574,2026-06-30,Tata
Tata Motors Limited,Tata Capital Ltd,0.1,2026-07-16,corporate,Promoter Group,4326651,544574,2026-06-30,Tata
Tata Chemicals Limited,Tata Capital Ltd,0.08,2026-07-16,corporate,Promoter Group,3230859,544574,2026-06-30,Tata
The Tata Power Company Limited,Tata Capital Ltd,0.05,2026-07-16,corporate,Promoter Group,2333070,544574,2026-06-30,Tata
Tata International Limited,Tata Capital Ltd,0.02,2026-07-16,corporate,Promoter Group,824470,544574,2026-06-30,Tata
Tata Consumer Products Limited,Tata Capital Ltd,0.01,2026-07-16,corporate,Promoter Group,613598,544574,2026-06-30,Tata
Tata Sons Private Limited,Tata Chemicals Ltd,31.9,2026-07-20,corporate,Promoter,81260095,500770,2026-06-30,Tata
Life Insurance Corporation Of India - P & Gs Fund,Tata Chemicals Ltd,9.24,2026-07-20,corporate,Public (>1%),23530511,500770,2026-06-30,Tata
Tata Investment Corporation Ltd,Tata Chemicals Ltd,5.97,2026-07-20,corporate,Promoter Group,15200001,500770,2026-06-30,Tata
Icici Prudential Value Fund,Tata Chemicals Ltd,4.03,2026-07-20,corporate,Public (>1%),10258095,500770,2026-06-30,Tata
Kotak Flexicap Fund,Tata Chemicals Ltd,2.71,2026-07-20,corporate,Public (>1%),6902254,500770,2026-06-30,Tata
"Acacia Partners, Lp",Tata Chemicals Ltd,1.36,2026-07-20,corporate,Public (>1%),3458400,500770,2026-06-30,Tata
Voltas Limited,Tata Chemicals Ltd,0.08,2026-07-20,corporate,Promoter Group,200440,500770,2026-06-30,Tata
Tata Industries Limited,Tata Chemicals Ltd,0.03,2026-07-20,corporate,Promoter Group,77647,500770,2026-06-30,Tata
Tata Capital Limited,Tata Chemicals Ltd,0.0,2026-07-20,corporate,Promoter Group,10060,500770,2026-06-30,Tata
Tata Consumer Products Limited,Tata Chemicals Ltd,0.0,2026-07-20,corporate,Promoter Group,150,500770,2026-06-30,Tata
Titan Company Limited,Tata Chemicals Ltd,0.0,2026-07-20,corporate,Promoter Group,560,500770,2026-06-30,Tata
Panatone Finvest Limited,Tata Communications Ltd,44.79,2026-07-21,corporate,Promoter Group,127672854,500483,2026-06-30,Tata
Tata Sons Private Limited,Tata Communications Ltd,14.07,2026-07-21,corporate,Promoter,40087639,500483,2026-06-30,Tata
Hdfc Mutual Fund - Hdfc Mid-Cap Fund,Tata Communications Ltd,4.94,2026-07-21,corporate,Public (>1%),14069026,500483,2026-06-30,Tata
Mirae Asset Large & Midcap Fund,Tata Communications Ltd,4.19,2026-07-21,corporate,Public (>1%),11953915,500483,2026-06-30,Tata
Quant Mutual Fund - Quant Mid Cap Fund,Tata Communications Ltd,1.81,2026-07-21,corporate,Public (>1%),5147474,500483,2026-06-30,Tata
Rekha Jhunjhunwala,Tata Communications Ltd,1.58,2026-07-21,individual,Public (>1%),4500687,500483,2026-06-30,Tata
Government Pension Fund Global,Tata Communications Ltd,1.47,2026-07-21,corporate,Public (>1%),4195708,500483,2026-06-30,Tata
Icici Prudential India Opportunities Fund,Tata Communications Ltd,1.03,2026-07-21,corporate,Public (>1%),2931117,500483,2026-06-30,Tata
Tata Sons Private Limited,Tata Consultancy Services Ltd,71.74,2026-07-21,corporate,Promoter,2595499419,532540,2026-06-30,Tata
LIC of India,Tata Consultancy Services Ltd,5.52,2026-07-21,corporate,Public (>1%),199698698,532540,2026-06-30,Tata
Sbi Nifty 50 Etf,Tata Consultancy Services Ltd,1.31,2026-07-21,corporate,Public (>1%),47277357,532540,2026-06-30,Tata
ICICI Prudential Value Fund,Tata Consultancy Services Ltd,1.06,2026-07-21,corporate,Public (>1%),38328180,532540,2026-06-30,Tata
Tata Investment Corporation Limited,Tata Consultancy Services Ltd,0.03,2026-07-21,corporate,Promoter Group,1004425,532540,2026-06-30,Tata
Tata Industries Limited,Tata Consultancy Services Ltd,0.0,2026-07-21,corporate,Promoter Group,7220,532540,2026-06-30,Tata
Tata Steel Limited,Tata Consultancy Services Ltd,0.0,2026-07-21,corporate,Promoter Group,46798,532540,2026-06-30,Tata
The Tata Power Company Limited,Tata Consultancy Services Ltd,0.0,2026-07-21,corporate,Promoter Group,766,532540,2026-06-30,Tata
Tata Sons Private Limited,Tata Consumer Products Ltd,28.68,2026-07-17,corporate,Promoter,283854264,500800,2026-06-30,Tata
Life Insurance Corporation Of India,Tata Consumer Products Ltd,8.23,2026-07-17,corporate,Public (>1%),81469499,500800,2026-06-30,Tata
Tata Investment Corporation Limited,Tata Consumer Products Ltd,4.65,2026-07-17,corporate,Promoter Group,45975807,500800,2026-06-30,Tata
Nps Trust A/C Uti Pension Fund Limited-Scheme State Govt,Tata Consumer Products Ltd,2.41,2026-07-17,corporate,Public (>1%),23896426,500800,2026-06-30,Tata
Sbi-Nifty 50 ETF,Tata Consumer Products Ltd,1.69,2026-07-17,corporate,Public (>1%),16692239,500800,2026-06-30,Tata
Nippon Life India Trustee Ltd-A/C Nippon India Small Cap Fund,Tata Consumer Products Ltd,1.61,2026-07-17,corporate,Public (>1%),15913283,500800,2026-06-30,Tata
Sbi Life Insurance Co. Ltd,Tata Consumer Products Ltd,1.43,2026-07-17,corporate,Public (>1%),14121220,500800,2026-06-30,Tata
Ewart Investments Limited,Tata Consumer Products Ltd,0.39,2026-07-17,corporate,Promoter Group,3876950,500800,2026-06-30,Tata
Tata Industries Limited,Tata Consumer Products Ltd,0.09,2026-07-17,corporate,Promoter Group,851161,500800,2026-06-30,Tata
VOLTAS LIMITED,Tata Consumer Products Ltd,0.02,2026-07-17,corporate,Promoter Group,237289,500800,2026-06-30,Tata
TITAN COMPANY LIMITED,Tata Consumer Products Ltd,0.0,2026-07-17,corporate,Promoter Group,6893,500800,2026-06-30,Tata
Tata Capital Limited,Tata Consumer Products Ltd,0.0,2026-07-17,corporate,Promoter Group,11468,500800,2026-06-30,Tata
Tata Securities Limited,Tata Consumer Products Ltd,0.0,2026-07-17,corporate,Promoter Group,2,500800,2026-06-30,Tata
Tata Sons Private Limited,Tata Elxsi Ltd,42.21,2026-07-20,corporate,Promoter,26295264,500408,2026-06-30,Tata
Life Insurance Corporation Of India,Tata Elxsi Ltd,6.59,2026-07-20,corporate,Public (>1%),4105617,500408,2026-06-30,Tata
Tata Investment Corporation Limited,Tata Elxsi Ltd,1.69,2026-07-20,corporate,Promoter Group,1053655,500408,2026-06-30,Tata
General Insurance Corporation Of India,Tata Elxsi Ltd,1.22,2026-07-20,corporate,Public (>1%),758195,500408,2026-06-30,Tata
Tata Sons Private Limited,Tata Investment Corporation Ltd,68.51,2026-04-17,corporate,Promoter,346646630,501301,2026-03-31,Tata
Ewart Investments Limited,Tata Investment Corporation Ltd,1.59,2026-04-17,corporate,Promoter Group,8058430,501301,2026-03-31,Tata
The Tata Power Company Limited,Tata Investment Corporation Ltd,1.57,2026-04-17,corporate,Promoter Group,7944160,501301,2026-03-31,Tata
Tata Chemicals Limited,Tata Investment Corporation Ltd,0.87,2026-04-17,corporate,Promoter Group,4410150,501301,2026-03-31,Tata
Tata Steel Limited,Tata Investment Corporation Ltd,0.45,2026-04-17,corporate,Promoter Group,2280150,501301,2026-03-31,Tata
Tata Consumer Products Limited,Tata Investment Corporation Ltd,0.29,2026-04-17,corporate,Promoter Group,1468720,501301,2026-03-31,Tata
Trent Limited,Tata Investment Corporation Ltd,0.06,2026-04-17,corporate,Promoter Group,317930,501301,2026-03-31,Tata
Nahar Retail Trading Services Limited,Tata Investment Corporation Ltd,0.03,2026-04-17,corporate,Promoter Group,163300,501301,2026-03-31,Tata
Tata Sons Private Limited,Tata Motors Ltd,40.14,2026-07-21,corporate,Promoter,1478263541,544569,2026-06-30,Tata
Life Insurance Corporation of India,Tata Motors Ltd,4.29,2026-07-21,corporate,Public (>1%),158050739,544569,2026-06-30,Tata
ICICI Prudential Value Fund,Tata Motors Ltd,3.57,2026-07-21,corporate,Public (>1%),131483983,544569,2026-06-30,Tata
SBI Large Cap Fund,Tata Motors Ltd,2.76,2026-07-21,corporate,Public (>1%),101692902,544569,2026-06-30,Tata
Tata Industries Limited,Tata Motors Ltd,1.96,2026-07-21,corporate,Promoter Group,72203630,544569,2026-06-30,Tata
Rekha Jhunjhunwala,Tata Motors Ltd,1.32,2026-07-21,individual,Public (>1%),48748260,544569,2026-06-30,Tata
HDFC Trustee Company Ltd./HDFC Large Cap Fund,Tata Motors Ltd,1.25,2026-07-21,corporate,Public (>1%),46201901,544569,2026-06-30,Tata
Governement of Singapore,Tata Motors Ltd,1.02,2026-07-21,corporate,Public (>1%),37554810,544569,2026-06-30,Tata
Tata Investment Corporation Limited,Tata Motors Ltd,0.3,2026-07-21,corporate,Promoter Group,11000000,544569,2026-06-30,Tata
Ewart Investments Limited,Tata Motors Ltd,0.09,2026-07-21,corporate,Promoter Group,3383746,544569,2026-06-30,Tata
Tata Chemicals Limited,Tata Motors Ltd,0.05,2026-07-21,corporate,Promoter Group,1966294,544569,2026-06-30,Tata
The Tata Power Company Limited,Tata Motors Ltd,0.01,2026-07-21,corporate,Promoter Group,391803,544569,2026-06-30,Tata
Simto Investment Company Limited,Tata Motors Ltd,0.0,2026-07-21,corporate,Promoter Group,59583,544569,2026-06-30,Tata
Tata Securities Limited,Tata Motors Ltd,0.0,2026-07-21,corporate,Promoter Group,400,544569,2026-06-30,Tata
Tata Steel Limited,Tata Motors Ltd,0.0,2026-07-21,corporate,Promoter Group,100000,544569,2026-06-30,Tata
Tata Sons Private Limited,Tata Motors Passenger Vehicles Ltd,40.14,2026-07-21,corporate,Promoter,1478263541,500570,2026-06-30,Tata
Life Insurance Corporation Of India,Tata Motors Passenger Vehicles Ltd,4.75,2026-07-21,corporate,Public (>1%),175104418,500570,2026-06-30,Tata
Icici Prudential Value Fund,Tata Motors Passenger Vehicles Ltd,2.86,2026-07-21,corporate,Public (>1%),105211286,500570,2026-06-30,Tata
Sbi Nifty 50 Etf,Tata Motors Passenger Vehicles Ltd,2.27,2026-07-21,corporate,Public (>1%),83539171,500570,2026-06-30,Tata
Tata Industries Limited,Tata Motors Passenger Vehicles Ltd,1.96,2026-07-21,corporate,Promoter Group,72203630,500570,2026-06-30,Tata
Rekha Jhunjhunwala,Tata Motors Passenger Vehicles Ltd,1.33,2026-07-21,individual,Public (>1%),48798260,500570,2026-06-30,Tata
Tata Investment Corporation Limited,Tata Motors Passenger Vehicles Ltd,0.3,2026-07-21,corporate,Promoter Group,11000000,500570,2026-06-30,Tata
Ewart Investments Limited,Tata Motors Passenger Vehicles Ltd,0.09,2026-07-21,corporate,Promoter Group,3383746,500570,2026-06-30,Tata
The Tata Power Company Limited,Tata Motors Passenger Vehicles Ltd,0.01,2026-07-21,corporate,Promoter Group,391803,500570,2026-06-30,Tata
Simto Investment Company Limited,Tata Motors Passenger Vehicles Ltd,0.0,2026-07-21,corporate,Promoter Group,59583,500570,2026-06-30,Tata
Tata Securities Limited,Tata Motors Passenger Vehicles Ltd,0.0,2026-07-21,corporate,Promoter Group,400,500570,2026-06-30,Tata
Tata Steel Limited,Tata Motors Passenger Vehicles Ltd,0.0,2026-07-21,corporate,Promoter Group,100000,500570,2026-06-30,Tata
Tata Sons Private Limited,Tata Power Company Ltd,45.21,2026-07-21,corporate,Promoter,1444513021,500400,2026-06-30,Tata
Life Insurance Corporation of India,Tata Power Company Ltd,4.93,2026-07-21,corporate,Public (>1%),157599885,500400,2026-06-30,Tata
Nippon Life India Trustee Ltd-A/C Nippon India Large Cap Fund,Tata Power Company Ltd,2.09,2026-07-21,corporate,Public (>1%),66697896,500400,2026-06-30,Tata
NPS TRUST- A/C,Tata Power Company Ltd,1.45,2026-07-21,corporate,Public (>1%),46236615,500400,2026-06-30,Tata
Tata Steel Limited,Tata Power Company Ltd,1.22,2026-07-21,corporate,Promoter Group,39122725,500400,2026-06-30,Tata
Franklin India Flexi Cap Fund,Tata Power Company Ltd,1.1,2026-07-21,corporate,Public (>1%),35021677,500400,2026-06-30,Tata
Tata Investment Corporation Ltd,Tata Power Company Ltd,0.21,2026-07-21,corporate,Promoter Group,6847842,500400,2026-06-30,Tata
Tata Industries Limited,Tata Power Company Ltd,0.14,2026-07-21,corporate,Promoter Group,4535200,500400,2026-06-30,Tata
Ewart Investments Limited,Tata Power Company Ltd,0.07,2026-07-21,corporate,Promoter Group,2229657,500400,2026-06-30,Tata
Tata Capital Limited,Tata Power Company Ltd,0.0,2026-07-21,corporate,Promoter Group,9120,500400,2026-06-30,Tata
Tata Sons Private Limited,Tata Steel Ltd,31.76,2026-07-20,corporate,Promoter,3965081420,500470,2026-06-30,Tata
Life Insurance Corporation Of India,Tata Steel Ltd,6.37,2026-07-20,corporate,Public (>1%),795486832,500470,2026-06-30,Tata
Sbi Nifty 50 Etf,Tata Steel Ltd,3.98,2026-07-20,corporate,Public (>1%),496291004,500470,2026-06-30,Tata
Icici Prudential Value Fund,Tata Steel Ltd,2.31,2026-07-20,corporate,Public (>1%),288722018,500470,2026-06-30,Tata
Hdfc Trustee Company Limited -Hdfc Flexi Cap Fund,Tata Steel Ltd,2.12,2026-07-20,corporate,Public (>1%),265169321,500470,2026-06-30,Tata
Nps Trust- A/C Lic Pension Fund Scheme - State Govt,Tata Steel Ltd,1.89,2026-07-20,corporate,Public (>1%),236088522,500470,2026-06-30,Tata
Uti Nifty 50 Etf,Tata Steel Ltd,1.46,2026-07-20,corporate,Public (>1%),182768861,500470,2026-06-30,Tata
Tata Motors Passenger Vehicles Limited (formerly known as Tata Motors Limited),Tata Steel Ltd,0.44,2026-07-20,corporate,Promoter Group,54962950,500470,2026-06-30,Tata
Tata Investment Corporation Ltd,Tata Steel Ltd,0.34,2026-07-20,corporate,Promoter Group,41984940,500470,2026-06-30,Tata
Ewart Investments Limited,Tata Steel Ltd,0.18,2026-07-20,corporate,Promoter Group,22259750,500470,2026-06-30,Tata
Rujuvalika Investments Limited,Tata Steel Ltd,0.09,2026-07-20,corporate,Promoter Group,11683930,500470,2026-06-30,Tata
Tata Industries Limited,Tata Steel Ltd,0.08,2026-07-20,corporate,Promoter Group,10425450,500470,2026-06-30,Tata
Tata Capital Limited,Tata Steel Ltd,0.05,2026-07-20,corporate,Promoter Group,6270720,500470,2026-06-30,Tata
Titan Company Limited,Tata Steel Ltd,0.0,2026-07-20,corporate,Promoter Group,25110,500470,2026-06-30,Tata
Tata Motors Passenger Vehicles Limited (Formerly Tata Motors Limited),Tata Technologies Ltd,53.34,2026-07-15,corporate,Promoter,216569816,544028,2026-06-30,Tata
Tata Capital Limited,Tata Technologies Ltd,1.84,2026-07-15,corporate,Promoter Group,7454920,544028,2026-06-30,Tata
Tata Enterprises Overseas Limited,Tata Technologies Ltd,1.74,2026-07-15,corporate,Public (>1%),7078200,544028,2026-06-30,Tata
Kotak Mahindra Trustee Co Ltd A/C Kotak Multicap Fund,Tata Technologies Ltd,1.51,2026-07-15,corporate,Public (>1%),6142927,544028,2026-06-30,Tata
Life Insurance Corporation Of India,Tata Technologies Ltd,1.35,2026-07-15,corporate,Public (>1%),5486550,544028,2026-06-30,Tata
Patrick Raymon Mcgoldrick,Tata Technologies Ltd,1.13,2026-07-15,individual,Public (>1%),4600000,544028,2026-06-30,Tata
Tata Teleservices Limited,Tata Teleservices (Maharashtra) Ltd,48.3,2026-08-10,corporate,Promoter,944174817,532371,2026-06-30,Tata
Tata Sons Private Limited,Tata Teleservices (Maharashtra) Ltd,19.58,2026-08-10,corporate,Promoter,382759467,532371,2026-06-30,Tata
The Tata Power Company Limited,Tata Teleservices (Maharashtra) Ltd,6.48,2026-08-10,corporate,Promoter Group,126720193,532371,2026-06-30,Tata
Panatone Finvest Limited,Tata Teleservices (Maharashtra) Ltd,0.0,2026-08-10,corporate,Promoter Group,17850,532371,2026-06-30,Tata
Panatone Finvest Limited,Tejas Networks Ltd,53.33,2026-07-21,corporate,Promoter,94905686,540595,2026-06-30,Tata
Nippon Life India Trustee Ltd-A/C Nippon India Small Cap Fund,Tejas Networks Ltd,2.89,2026-07-21,corporate,Public (>1%),5151511,540595,2026-06-30,Tata
Tamilnadu Industrial Development Corporation Ltd,Titan Company Ltd,27.88,2026-07-16,corporate,Promoter,247476720,500114,2026-06-30,Tata
Tata Sons Private Limited,Titan Company Ltd,20.84,2026-07-16,corporate,Promoter,185058900,500114,2026-06-30,Tata
Rekha Jhunjhunwala,Titan Company Ltd,4.24,2026-07-16,individual,Public (>1%),37643895,500114,2026-06-30,Tata
Life Insurance Corporation Of India,Titan Company Ltd,2.17,2026-07-16,corporate,Public (>1%),19224672,500114,2026-06-30,Tata
Tata Investment Corporation Ltd,Titan Company Ltd,2.01,2026-07-16,corporate,Promoter Group,17875640,500114,2026-06-30,Tata
Sbi Nifty 50 Etf,Titan Company Ltd,1.8,2026-07-16,corporate,Public (>1%),15999057,500114,2026-06-30,Tata
Nps Trust A/C Uti Pension Fund Limited-Scheme State Govt,Titan Company Ltd,1.73,2026-07-16,corporate,Public (>1%),15386048,500114,2026-06-30,Tata
Tata Chemicals Limited,Titan Company Ltd,1.56,2026-07-16,corporate,Promoter Group,13826180,500114,2026-06-30,Tata
Icici Prudential Balanced Advantage Fund,Titan Company Ltd,1.26,2026-07-16,corporate,Public (>1%),11184971,500114,2026-06-30,Tata
Uti Nifty 50 Etf,Titan Company Ltd,1.11,2026-07-16,corporate,Public (>1%),9851148,500114,2026-06-30,Tata
Ewart Investments Limited,Titan Company Ltd,0.56,2026-07-16,corporate,Promoter Group,4964480,500114,2026-06-30,Tata
Piem Hotels Limited,Titan Company Ltd,0.05,2026-07-16,corporate,Promoter Group,400000,500114,2026-06-30,Tata
Tata Sons Private Limited,Trent Ltd,32.45,2026-07-14,corporate,Promoter,173010511,500251,2026-06-30,Tata
Siddhartha Yog,Trent Ltd,4.53,2026-07-14,individual,Public (>1%),24143271,500251,2026-06-30,Tata
Tata Investment Corporation Limited,Trent Ltd,4.28,2026-07-14,corporate,Promoter Group,22811310,500251,2026-06-30,Tata
Life Insurance Corporation Of India,Trent Ltd,3.03,2026-07-14,corporate,Public (>1%),16140270,500251,2026-06-30,Tata
Icici Prudential Balanced Advantage Fund,Trent Ltd,2.59,2026-07-14,corporate,Public (>1%),13823877,500251,2026-06-30,Tata
Nippon Life India Trustee Ltd-A/C Nippon India Large Cap Fund,Trent Ltd,2.37,2026-07-14,corporate,Public (>1%),12619190,500251,2026-06-30,Tata
Sbi Nifty 50 Etf,Trent Ltd,2.13,2026-07-14,corporate,Public (>1%),11365217,500251,2026-06-30,Tata
Sbi Life Insurance Co. Ltd,Trent Ltd,1.76,2026-07-14,corporate,Public (>1%),9377583,500251,2026-06-30,Tata
Nps Trust A/C Uti Pension Fund Limited-Scheme State Govt,Trent Ltd,1.69,2026-07-14,corporate,Public (>1%),9023214,500251,2026-06-30,Tata
Uti Nifty 50 Etf,Trent Ltd,1.31,2026-07-14,corporate,Public (>1%),6979226,500251,2026-06-30,Tata
Ewart Investments Limited,Trent Ltd,0.28,2026-07-14,corporate,Promoter Group,1500000,500251,2026-06-30,Tata
Titan Company Limited,Trent Ltd,0.0,2026-07-14,corporate,Promoter Group,4500,500251,2026-06-30,Tata
Tata Sons Private Limited,Voltas Ltd,26.64,2026-07-21,corporate,Promoter,88131780,500575,2026-06-30,Tata
Life Insurance Corporation Of India,Voltas Ltd,7.72,2026-07-21,corporate,Public (>1%),25542455,500575,2026-06-30,Tata
NPS Trust- A/C SBI Pension Fund Scheme - State Govt,Voltas Ltd,5.79,2026-07-21,corporate,Public (>1%),19161637,500575,2026-06-30,Tata
Nippon Life India Trustee Ltd (Various Accounts),Voltas Ltd,5.73,2026-07-21,corporate,Public (>1%),18959405,500575,2026-06-30,Tata
Tata Investment Corporation Ltd,Voltas Ltd,3.01,2026-07-21,corporate,Promoter Group,9962330,500575,2026-06-30,Tata
Kotak Midcap Fund (Various Accounts),Voltas Ltd,2.29,2026-07-21,corporate,Public (>1%),7593685,500575,2026-06-30,Tata
SBI Life Insurance Co. Ltd,Voltas Ltd,2.26,2026-07-21,corporate,Public (>1%),7494474,500575,2026-06-30,Tata
HDFC Life Insurance Company Limited,Voltas Ltd,1.92,2026-07-21,corporate,Public (>1%),6358946,500575,2026-06-30,Tata
Tata AIA Life Insurance Co Ltd,Voltas Ltd,1.61,2026-07-21,corporate,Public (>1%),5314592,500575,2026-06-30,Tata
